expression,reading,meaning,tags
言う,いう,to say,Genki Genki_Ln.8 JLPT JLPT_5 JLPT_N5
家,いえ,"house, home",Genki Genki_Ln.3 JLPT JLPT_2 JLPT_3 JLPT_5 JLPT_N5
いかが,いかが,"how, in what way",JLPT JLPT_5 JLPT_N5
行く,いく; ゆく,to go,JLPT JLPT_5 JLPT_N5
いくつ,いくつ,"how many, how old",JLPT JLPT_3 JLPT_5 JLPT_N5
いくら,いくら,"how much, how many",Genki Genki_Ln.2 JLPT JLPT_3 JLPT_5 JLPT_N5
池,いけ,pond,JLPT JLPT_5 JLPT_N5
医者,いしゃ,doctor; physician,Genki Genki_Ln.1 Genki_Ln.10 Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT JLPT_5 JLPT_N5
椅子,いす,chair,JLPT JLPT_3 JLPT_5 JLPT_N5
忙しい,いそがしい,"busy (people, days)",Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5
痛い,いたい,hurt; painful; sore,Genki Genki_Ln.12 Intermediate_Japanese Intermediate_Japanese_Ln.5 JLPT JLPT_5 JLPT_N5
一,いち,one,JLPT JLPT_3 JLPT_5 JLPT_N5
一日,いちにち,one day (duration),Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5
一番,いちばん,"best (most), first, number one",Genki Genki_Ln.10 Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_3 JLPT_5 JLPT_N5
いつ,いつ,when,Genki Genki_Ln.3 JLPT JLPT_2 JLPT_5 JLPT_N5
五日,いつか,five days; fifth day of the month,Genki Genki_Ln.13 JLPT JLPT_3 JLPT_5 JLPT_N5
一緒,いっしょ,together,Intermediate_Japanese Intermediate_Japanese_Ln.7 JLPT JLPT_5 JLPT_N5
五つ,いつつ,five things,Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5
いつも,いつも,"always, usually, every time, never (with neg. verb)",Genki Genki_Ln.12 JLPT JLPT_3 JLPT_5 JLPT_N5
犬,いぬ,dog,Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5
今,いま,now,Genki Genki_Ln.1 JLPT JLPT_3 JLPT_5 JLPT_N5
意味,いみ,"meaning, significance",Genki Genki_Ln.12 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5
妹,いもうと,younger sister (humble),Genki Genki_Ln.1 Genki_Ln.7 JLPT JLPT_5 JLPT_N5
嫌,いや,"disagreeable, detestable, unpleasant",JLPT JLPT_3 JLPT_5 JLPT_N5
入口,いりぐち,entrance,JLPT JLPT_5 JLPT_N5
居る,いる,"(humble) to be (animate), to exist",JLPT JLPT_5 JLPT_N5
要る,いる,to need,JLPT JLPT_5 JLPT_N5
入れる,いれる,to put in,JLPT JLPT_5 JLPT_N5
色,いろ,color,Genki Genki_Ln.9 Intermediate_Japanese Intermediate_Japanese_Ln.9 JLPT JLPT_5 JLPT_N5
色々,いろいろ,various,JLPT JLPT_5 JLPT_N5
上,うえ,"above (up, top, etc.), over, on top of",JLPT JLPT_2 JLPT_5 JLPT_N5
後ろ,うしろ,"back, behind, rear",JLPT JLPT_3 JLPT_5 JLPT_N5
薄い,うすい,"thin, weak",JLPT JLPT_3 JLPT_5 JLPT_N5
歌,うた,a song,Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5
歌う,うたう,to sing,Genki Genki_Ln.7 Intermediate_Japanese Intermediate_Japanese_Ln.7 JLPT JLPT_5 JLPT_N5
うち,うち,home; house; my place,Genki Genki_Ln.3 JLPT JLPT_3 JLPT_5 JLPT_N5
生まれる,うまれる,to be born,JLPT JLPT_3 JLPT_5 JLPT_N5
海,うみ,"sea, beach",Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5
売る,うる,to sell (v.t.),Genki Genki_Ln.15 Intermediate_Japanese Intermediate_Japanese_Ln.6 JLPT JLPT_3 JLPT_5 JLPT_N5
うるさい,うるさい,noisy; annoying,Genki Genki_Ln.22 JLPT JLPT_3 JLPT_5 JLPT_N5
上着,うわぎ,"coat, jacket",JLPT JLPT_5 JLPT_N5
絵,え,a painting; a picture; a drawing,Genki Genki_Ln.15 JLPT JLPT_3 JLPT_5 JLPT_N5
映画,えいが,"movie, film",Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.7 JLPT JLPT_5 JLPT_N5
映画館,えいがかん,"movie theater, cinema",Genki Genki_Ln.15 JLPT JLPT_5 JLPT_N5
英語,えいご,English (language),Genki Genki_Ln.1 JLPT JLPT_5 JLPT_N5
ええ,ええ,yes,Genki Genki_Ln.1 JLPT JLPT_5 JLPT_N5
駅,えき,station,Genki Genki_Ln.10 JLPT JLPT_5 JLPT_N5
エレベーター,エレベーター,elevator,JLPT JLPT_2 JLPT_5 JLPT_N5
～円,～えん,Yen,JLPT JLPT_5 JLPT_N5
鉛筆,えんぴつ,pencil,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5
お～,お～,honorable ~ (honorific),JLPT JLPT_5 JLPT_N5
美味しい,おいしい,"delicious, tasty",JLPT JLPT_5 JLPT_N5
多い,おおい,many; there are a lot,Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5
大きい,おおきい,"big, large",Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5
大きな,おおきな,big,JLPT JLPT_5 JLPT_N5
大勢,おおぜい,great number of people,JLPT JLPT_5 JLPT_N5
お母さん,おかあさん,mother (formal),Genki Genki_Ln.1 Genki_Ln.2 JLPT JLPT_5 JLPT_N5
お菓子,おかし,"confections, sweets, snack",Genki Genki_Ln.11 JLPT JLPT_5 JLPT_N5
お金,おかね,money,Genki Genki_Ln.6 JLPT JLPT_5 JLPT_N5
起きる,おきる,"to get up (e.g., from sleeping); to happen",Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT JLPT_3 JLPT_5 JLPT_N5
置く,おく,to put; to lay; to place,Genki Genki_Ln.21 JLPT JLPT_3 JLPT_5 JLPT_N5
奥さん,おくさん,(someone else's) wife (hon.),Genki Genki_Ln.14 Intermediate_Japanese Intermediate_Japanese_Ln.9 JLPT JLPT_5 JLPT_N5
お酒,おさけ,sake; alcohol,Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5
お皿,おさら,"plate, dish",JLPT JLPT_5 JLPT_N5
伯父; 叔父さん,おじさん,"uncle, middle-aged man",JLPT JLPT_5 JLPT_N5
おじいさん,おじいさん,"grandfather, male senior citizen",Genki Genki_Ln.13 JLPT JLPT_3 JLPT_5 JLPT_N5
教える,おしえる,"to teach, to inform, to instruct",Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5
押す,おす,"to push, to press, to stamp (e.g., a passport)",Genki Genki_Ln.18 JLPT JLPT_5 JLPT_N5
遅い,おそい,slow; (to be) late,Genki Genki_Ln.10 Intermediate_Japanese Intermediate_Japanese_Ln.11 JLPT JLPT_5 JLPT_N5
お茶,おちゃ,(green) tea,Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.6 JLPT JLPT_5 JLPT_N5
お手洗い,おてあらい,"toilet, restroom, bathroom (lit., a place to wash one's hands)",Genki Genki_Ln.2 Intermediate_Japanese Intermediate_Japanese_Ln.13 JLPT JLPT_5 JLPT_N5
お父さん,おとうさん,father (formal),Genki Genki_Ln.1 Genki_Ln.2 JLPT JLPT_5 JLPT_N5
弟,おとうと,younger brother,Genki Genki_Ln.1 Genki_Ln.7 JLPT JLPT_5 JLPT_N5
男,おとこ,"man, male",Genki Genki_Ln.17 JLPT JLPT_5 JLPT_N5
男の子,おとこのこ,boy,Genki Genki_Ln.11 JLPT JLPT_5 JLPT_N5
一昨日,おととい,the day before yesterday,Genki Genki_Ln.19 JLPT JLPT_5 JLPT_N5
おととし,おととし,year before last,JLPT JLPT_5 JLPT_N5
大人,おとな,adult,Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5
お腹,おなか,stomach,JLPT JLPT_3 JLPT_5 JLPT_N5
同じ,おなじ,"same, identical",Genki Genki_Ln.14 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5
お兄さん,おにいさん,(someone else's) older brother (formal),Genki Genki_Ln.1 Genki_Ln.7 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_5 JLPT_N5
お姉さん,おねえさん,older sister (formal),Genki Genki_Ln.1 Genki_Ln.7 JLPT JLPT_5 JLPT_N5
伯母さん; 叔母さん,おばさん,aunt,JLPT JLPT_5 JLPT_N5
おばあさん,おばあさん,"grandmother, female senior-citizen",Genki Genki_Ln.6 JLPT JLPT_5 JLPT_N5
お風呂,おふろ,a bath,JLPT_N5
お弁当,おべんとう,a boxed lunch,Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5
覚える,おぼえる,"to learn, to commit to memory, to remember, to memorize",Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5
おまわりさん,おまわりさん,policeman (friendly term),JLPT JLPT_5 JLPT_N5
重い,おもい,heavy; serious,Genki Genki_Ln.20 JLPT JLPT_3 JLPT_5 JLPT_N5
面白い,おもしろい,"interesting, amusing",Genki Genki_Ln.5 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_5 JLPT_N5
泳ぐ,およぐ,to swim,Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5
降りる,おりる,to get off,JLPT JLPT_3 JLPT_5 JLPT_N5
終る,おわる,"to finish, to close",JLPT JLPT_5 JLPT_N5
音楽,おんがく,Music,Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_5 JLPT_N5
女,おんな,"woman, female",Genki Genki_Ln.17 JLPT JLPT_5 JLPT_N5
女の子,おんなのこ,girl,Genki Genki_Ln.11 JLPT JLPT_5 JLPT_N5
～回,～かい,counter for occurrences (~ times),JLPT JLPT_1 JLPT_5 JLPT_N5
～階,～かい,counter for stories (floors) of a building,JLPT JLPT_4 JLPT_5 JLPT_N5
外国,がいこく,foreign country; abroad,Genki Genki_Ln.11 Intermediate_Japanese Intermediate_Japanese_Ln.6 JLPT JLPT_5 JLPT_N5
外国人,がいこくじん,foreigner,Genki Genki_Ln.15 JLPT JLPT_5 JLPT_N5
会社,かいしゃ,"company, corporation",Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5
階段,かいだん,stairs,JLPT JLPT_5 JLPT_N5
買い物,かいもの,shopping,Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5
買う,かう,to buy,JLPT JLPT_3 JLPT_5 JLPT_N5
返す,かえす,to return something,JLPT JLPT_3 JLPT_5 JLPT_N5
帰る,かえる,"to go back, to go home, to return",Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_3 JLPT_5 JLPT_N5
顔,かお,face (body part),Genki Genki_Ln.10 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_3 JLPT_5 JLPT_N5
かかる,かかる,"it takes (amount of time, money) (v.i.)",Genki Genki_Ln.10 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_3 JLPT_5 JLPT_N5
鍵,かぎ,a lock; a key,Genki Genki_Ln.17 JLPT JLPT_3 JLPT_5 JLPT_N5
書く,かく,to write,JLPT JLPT_3 JLPT_5 JLPT_N5
学生,がくせい,student,Genki Genki_Ln.1 JLPT JLPT_5 JLPT_N5
～か月,～かげつ,(number of) months,JLPT JLPT_5 JLPT_N5
掛ける,かける,"to put on (e.g., glasses); to hang (e.g., on a wall)",JLPT JLPT_3 JLPT_4 JLPT_5 JLPT_N5
かける,かける,"to dial/call (e.g., phone); to sit down",Genki Genki_Ln.19 JLPT JLPT_3 JLPT_4 JLPT_5 JLPT_N5
傘,かさ,"umbrella, parasol",Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5
貸す,かす,to lend,Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_5 JLPT_N5
風,かぜ,"wind, breeze",Genki Genki_Ln.22 JLPT JLPT_5 JLPT_N5
風邪,かぜ,"cold, flu",Genki Genki_Ln.12 JLPT JLPT_5 JLPT_N5
方,かた,-- honorific form for 人 (ひと) --; way of doing,Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_3 JLPT_4 JLPT_5 JLPT_N5
家族,かぞく,"family, members of a family",Genki Genki_Ln.7 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5
片仮名,かたかな,katakana,JLPT JLPT_5 JLPT_N5
～月,～がつ,month of year,JLPT JLPT_5 JLPT_N5
学校,がっこう,a school,Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5
カップ,カップ,cup,JLPT JLPT_1 JLPT_5 JLPT_N5
家庭,かてい,home; family,Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_3 JLPT_5 JLPT_N5
角,かど,"corner (e.g., desk, pavement)",Genki Genki_Ln.20 JLPT JLPT_5 JLPT_N5
かばん,かばん,"bag, basket",Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5
花瓶,かびん,(flower) vase,JLPT JLPT_5 JLPT_N5
かぶる,かぶる,"to wear, to put on (e.g., a hat on the head)",Genki Genki_Ln.7 JLPT JLPT_3 JLPT_5 JLPT_N5
紙,かみ,paper,Genki Genki_Ln.17 JLPT JLPT_3 JLPT_5 JLPT_N5
カメラ,カメラ,camera,Genki Genki_Ln.8 JLPT JLPT_5 JLPT_N5
火曜日,かようび,Tuesday,Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5
辛い,からい,hot and spicy; salty,Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5
体,からだ,body; health,Genki Genki_Ln.23 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_5 JLPT_N5
借りる,かりる,"to borrow, to owe",JLPT JLPT_5 JLPT_N5
～がる,～がる,feel,JLPT JLPT_5 JLPT_N5
軽い,かるい,"light, non-serious, minor",JLPT JLPT_5 JLPT_N5
カレー,カレー,curry (abbr. for curry and rice),Genki Genki_Ln.13 JLPT JLPT_1 JLPT_5 JLPT_N5
カレンダー,カレンダー,calendar,JLPT JLPT_5 JLPT_N5
川; 河,かわ,river,JLPT JLPT_3 JLPT_5 JLPT_N5
～側,～がわ,~ side,JLPT_N5
可愛い,かわいい,"cute, adorable",JLPT JLPT_5 JLPT_N5
漢字,かんじ,kanji; Chinese character,Genki Genki_Ln.6 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_3 JLPT_5 JLPT_N5
木,き,"tree, wood, timber",Genki Genki_Ln.22 JLPT JLPT_5 JLPT_N5
黄色,きいろ,yellow,JLPT JLPT_5 JLPT_N5
黄色い,きいろい,yellow,JLPT JLPT_5 JLPT_N5
消える,きえる,"to vanish, to disappear",Genki Genki_Ln.18 JLPT JLPT_5 JLPT_N5
聞く,きく,"to hear, to listen, to ask",JLPT JLPT_3 JLPT_5 JLPT_N5
北,きた,north,Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_5 JLPT_N5
ギター,ギター,guitar,Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5
汚い,きたない,"dirty, unclean, filthy",Genki Genki_Ln.16 JLPT JLPT_5 JLPT_N5
喫茶店,きっさてん,café,Genki Genki_Ln.2 Intermediate_Japanese Intermediate_Japanese_Ln.11 JLPT JLPT_5 JLPT_N5
切手,きって,postal (postage) stamps,Genki Genki_Ln.5 Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_5 JLPT_N5
切符,きっぷ,a ticket,Genki Genki_Ln.5 Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_5 JLPT_N5
昨日,きのう,yesterday,Genki Genki_Ln.4 JLPT JLPT_3 JLPT_5 JLPT_N5
九,きゅう,nine,JLPT JLPT_3 JLPT_5 JLPT_N5
牛肉,ぎゅうにく,beef,JLPT JLPT_5 JLPT_N5
牛乳,ぎゅうにゅう,milk,Genki Genki_Ln.18 JLPT JLPT_5 JLPT_N5
今日,きょう,"today, this day",Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5
教室,きょうしつ,classroom,Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_5 JLPT_N5
兄弟,きょうだい,"siblings (humble), brothers and sisters",Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5
去年,きょねん,last year,Genki Genki_Ln.14 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5
嫌い,きらい,dislike,JLPT JLPT_5 JLPT_N5
切る,きる,to cut; to hang up (a phone),Genki Genki_Ln.8 Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT JLPT_5 JLPT_N5
着る,きる,to put on (clothes above your waist); to wear,Genki Genki_Ln.7 Intermediate_Japanese Intermediate_Japanese_Ln.9 JLPT JLPT_5 JLPT_N5
綺麗,きれい,"pretty, clean, tidy",JLPT JLPT_5 JLPT_N5
キロ; キログラム,キロ; キログラム,(abbr.) kilo (kilogram),JLPT JLPT_3 JLPT_5 JLPT_N5
キロ; キロメートル,キロ; キロメートル,(abbr.) kilo (kilometer),JLPT JLPT_3 JLPT_5 JLPT_N5
銀行,ぎんこう,bank,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5
金曜日,きんようび,Friday,Genki Genki_Ln.4 JLPT JLPT_3 JLPT_5 JLPT_N5
九,く,nine,JLPT JLPT_3 JLPT_5 JLPT_N5
薬,くすり,medicine,Genki Genki_Ln.9 Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT JLPT_5 JLPT_N5
下さい,ください,(with te-form verb) please do for me,JLPT JLPT_5 JLPT_N5
果物,くだもの,fruit,Intermediate_Japanese Intermediate_Japanese_Ln.9 JLPT JLPT_5 JLPT_N5
口,くち,job opening; mouth,Intermediate_Japanese Intermediate_Japanese_Ln.11 Intermediate_Japanese_Ln.8 JLPT JLPT_5 JLPT_N5
靴,くつ,"shoes, footwear",Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5
靴下,くつした,socks,Genki Genki_Ln.23 JLPT JLPT_5 JLPT_N5
国,くに,country; place of origin,Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5
曇り,くもり,"cloudiness, cloudy weather",Genki Genki_Ln.12 JLPT JLPT_3 JLPT_5 JLPT_N5
曇る,くもる,"to become cloudy, to become dim",JLPT JLPT_5 JLPT_N5
暗い,くらい,"dark, gloomy",JLPT JLPT_3 JLPT_5 JLPT_N5
～くらい; ぐらい,～くらい; ぐらい,approximate (quantity),JLPT JLPT_5 JLPT_N5
クラス,クラス,a class,Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5
グラム,グラム,gram,JLPT JLPT_5 JLPT_N5
来る,くる,to come,JLPT JLPT_5 JLPT_N5
車,くるま,"car, vehicle",Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5
黒,くろ,black,JLPT JLPT_5 JLPT_N5
黒い,くろい,black; dark,Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5
警官,けいかん,police officer,JLPT JLPT_5 JLPT_N5
今朝,けさ,this morning,Genki Genki_Ln.8 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5
消す,けす,"to erase, to delete, to turn off power",JLPT JLPT_5 JLPT_N5
結構,けっこう,"splendid; enough, tolerably",JLPT JLPT_3 JLPT_5 JLPT_N5
結婚,けっこん (する),marriage (get married),JLPT JLPT_5 JLPT_N5
月曜日,げつようび,Monday,Genki Genki_Ln.4 JLPT JLPT_3 JLPT_5 JLPT_N5
玄関,げんかん,entrance (to a house or a building),Intermediate_Japanese Intermediate_Japanese_Ln.5 JLPT JLPT_4 JLPT_5 JLPT_N5
元気,げんき,"health(y), energetic",JLPT JLPT_5 JLPT_N5
～個,～こ,"counter for small items (e.g., fruits, cups)",JLPT JLPT_2 JLPT_5 JLPT_N5
五,ご,five,JLPT JLPT_3 JLPT_5 JLPT_N5
～語,～ご,"word, language",JLPT JLPT_5 JLPT_N5
公園,こうえん,a park,Genki Genki_Ln.4 JLPT JLPT_3 JLPT_5 JLPT_N5
交差点,こうさてん,intersection,JLPT JLPT_5 JLPT_N5
紅茶,こうちゃ,black tea,Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5
交番,こうばん,police box,JLPT JLPT_5 JLPT_N5
声,こえ,voice,Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5
コート,コート,"coat; court (e.g., tennis)",JLPT JLPT_5 JLPT_N5
コーヒー,コーヒー,coffee,Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5
ここ,ここ,"here, this place",Genki Genki_Ln.4 JLPT JLPT_3 JLPT_5 JLPT_N5
午後,ごご,"afternoon, P.M.",Genki Genki_Ln.1 JLPT JLPT_5 JLPT_N5
九日,ここのか,nine days; ninth day of the month,Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5
九つ,ここのつ,nine things,Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5
午前,ごぜん,"morning, A.M.",Genki Genki_Ln.1 JLPT JLPT_5 JLPT_N5
答える,こたえる,"to answer, to reply",JLPT JLPT_5 JLPT_N5
こちら,こちら,this person (polite); this way (polite),Genki Genki_Ln.11 Genki_Ln.19 JLPT JLPT_5 JLPT_N5
こっち,こっち,this person; this direction; this side,JLPT JLPT_4 JLPT_5 JLPT_N5
コップ,コップ,a tumbler; a glass,Genki Genki_Ln.14 JLPT JLPT_5 JLPT_N5
今年,ことし,this year,Genki Genki_Ln.10 JLPT JLPT_5 JLPT_N5
言葉,ことば,language; word(s); expression(s),Genki Genki_Ln.13 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5
子供,こども,child(ren),Genki Genki_Ln.4 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5
この,この,this,JLPT JLPT_3 JLPT_5 JLPT_N5
御飯,ごはん,rice (cooked); meal,Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5
コピーする,コピーする,to copy,JLPT JLPT_3 JLPT_5 JLPT_N5
困る,こまる,"to be bothered, to have difficulty",Genki Genki_Ln.16 JLPT JLPT_5 JLPT_N5
これ,これ,this one,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5
～ころ; ～ごろ,～ころ; ～ごろ,"about, toward, approximately (time)",JLPT JLPT_5 JLPT_N5
今月,こんげつ,this month,Genki Genki_Ln.8 JLPT JLPT_5 JLPT_N5
今週,こんしゅう,this week,Genki Genki_Ln.6 JLPT JLPT_5 JLPT_N5
こんな,こんな,"such, like this",JLPT JLPT_5 JLPT_N5
今晩,こんばん,"tonight, this evening",Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5
さあ,さあ,"come now, well",JLPT JLPT_5 JLPT_N5
～歳,～さい,~ years old,JLPT JLPT_2 JLPT_5 JLPT_N5
財布,さいふ,wallet,Genki Genki_Ln.2 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_5 JLPT_N5
魚,さかな,fish,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5
先,さき,"future; recent, previous",JLPT JLPT_5 JLPT_N5
